"code","term","definition","non-imdrf code/term","status","status description","codehierarchy","non-imdrf code","primary category","secondary category"
"E151202","Partial Neonatal Hearing loss","Partial loss of the ability to detect or understand sounds present in an infant within its first month after birth.",,"","","E15|E1512|E151202","MedDRA:10082496:Partial neonatal hearing loss","Pregnancy, Childbirth and the Puerperium","Ear and Labyrinth"
"E1513","Perinatal Brain Injury","Injury to the brain of a newborn infant occurring around the time of birth.",,"","","E15|E1513","MedDRA:10056392:Perinatal brain damage","Pregnancy, Childbirth and the Puerperium","Nervous System"
"E1514","Pregnancy with a Contraceptive Device","The woman became pregnant despite using a contraceptive device.",,"","","E15|E1514","MedDRA:10063130:Pregnancy with contraceptive device","",""
"E1515","Premature Labor","Delivery of a viable infant before the normal end of gestation.",,"","","E15|E1515","MedDRA:10036599:Premature labor","",""
"E1516","Respiratory Distress Syndrome of Newborns","A condition of the newborn marked by dyspnea with cyanosis.",,"","","E15|E1516","MedDRA:10038692:Respiratory distress syndrome in newborn","Pregnancy, Childbirth and the Puerperium","Respiratory System"
"E1517","Teratogenic Effects","Appearance of anomalies and/or developmental defects due to exposure to an agent that can disturb the development of an embryo or fetus.",,"","","E15|E1517","MedDRA:10043275:Teratogenicity","",""
"E1518","Toxins In Children","Children affected by toxins may be due to silicone breast implants and their effects on unborn children and from breastfeeding.",,"","","E15|E1518","MedDRA:10053487:Exposure to toxic agent","",""
"E1519","Vaginal Mucosa Damage","Injury to vaginal mucosa.",,"","","E15|E1519","MedDRA:10080926:Vaginal mucosal damage","Pregnancy, Childbirth and the Puerperium","Reproductive System and Breast"
"E190103","Toxemia","The condition resulting from the spread of bacterial products (toxins) by the bloodstream.",,"","","E15|E190103","MedDRA:10059857:Toxemia","Infections","Pregnancy, Childbirth and the Puerperium"
"E16","Musculoskeletal System","Musculoskeletal System",,"Not selectable","Please use more detailed term within the hierarchy","E16","","",""
"E1505","Congenital Defect/Deformity","Any abnormality either hereditary or due an influence that happen during the pregnancy until the moment of birth.",,"","","E16|E1505","MedDRA:10048305:Birth defects","Pregnancy, Childbirth and the Puerperium","Musculoskeletal System"
"E1511","Neonatal Deformities","Anatomic abnormality manifested during the neonatal period of physical or mechanical origin.",,"","","E16|E1511","MedDRA:10082494:Neonatal deformity","Pregnancy, Childbirth and the Puerperium","Musculoskeletal System"
"E1601","Arthralgia","Pain in a joint.",,"","","E16|E1601","MedDRA:10003239:Arthralgia","",""
"E1602","Arthritis","An inflammatory process affecting a joint.",,"","","E16|E1602","MedDRA:10003246:Arthritis","",""
"E160201","Rheumatoid Arthritis","A chronic systemic disease, primarily of the joints, marked by inflammatory changes in the synovial membranes and articular structures, widespread fibrinoid degeneration of the collagen fibers in mesenchymal tissues, and by atrophy and rarefaction of bony structures.",,"","","E16|E1602|E160201","MedDRA:10039073:Rheumatoid arthritis","",""
"E1603","Bone Fracture(s)","A traumatic or pathological injury to the bone in which the continuity of the bone is broken.",,"","","E16|E1603","MedDRA:10017076:Fracture","Musculoskeletal System","Injury"
"E160301","Hip Fracture","Traumatic or pathological injury to the hip in which the continuity of either the femoral head, femoral neck, intertrochanteric or subtrochanteric regions is broken.",,"","","E16|E1603|E160301","MedDRA:10020100:Hip fracture","Musculoskeletal System","Injury"
"E160302","Limb Fracture","A traumatic break in one or more of the bones in a limb.",,"","","E16|E1603|E160302","MedDRA:10074551:Limb fracture","Musculoskeletal System","Injury"
"E160303","Multiple Fractures","Two or more simultaneous traumatic breaks in one or more bones.",,"","","E16|E1603|E160303","MedDRA:10028200:Multiple fractures","Musculoskeletal System","Injury"
"E160304","Skull Fracture","A traumatic or pathologic injury to the bones of the skull in which the continuity of the bones of the skull is broken.",,"","","E16|E1603|E160304","MedDRA:10061365:Skull fracture","Musculoskeletal System","Injury"
"E160305","Vertebral Fracture","Traumatic or pathological injury to the spine in which the continuity of a vertebral bone is broken.",,"","","E16|E1603|E160305","MedDRA:10047333:Vertebral fracture","Musculoskeletal System","Injury"
"E1604","Connective Tissue Disease","A non-neoplastic or neoplastic disorder that affects the connective tissue.",,"","","E16|E1604","MedDRA:10061087:Connective tissue disorder","",""
"E1605","Cramp(s) /Muscle Spasm(s)","A sustained, sudden and involuntary contraction of a muscle or group of muscles.",,"","","E16|E1605","MedDRA:10011285:Cramp","",""
"E160501","Abdominal Cramps","An involuntary muscular contraction involving a muscle of the abdomen or of a hollow organ within the abdomen.",,"","","E16|E1605|E160501","MedDRA:10000057:Abdominal cramps","",""
"E1606","Damage to Ligament(s)","An injury to any of the fibrous bands of tissue that comprise an articulation (joint).",,"","","E16|E1606","MedDRA:10061223:Ligament injury","Musculoskeletal System","Injury"
"E1607","Difficulty Chewing","Problem with mastication due to pain, discomfort or loss of mobility in the jaw.",,"","","E16|E1607","MedDRA:10067464:Chewing difficulty","Musculoskeletal System","Gastrointestinal System"
"E1608","Fasciitis","Inflammation of fascia.",,"","","E16|E1608","MedDRA:10016228:Fasciitis","",""
"E1609","Fibromyositis","Inflammation and fibrous degeneration of a muscle.",,"","","E16|E1609","MedDRA:10063041:Fibromyositis","Musculoskeletal System","Infections"
"E1610","Head Injury","A traumatic injury to the head.",,"","","E16|E1610","MedDRA:10019196:Head injury","Musculoskeletal System","Injury"
"E1611","Hyperextension","Forceful extension of a joint beyond its normal limits.",,"","","E16|E1611","MedDRA:10062310:Joint hyperextension","",""
"E1612","Inadequate Osseointegration","Insufficient structural and functional connection between living bone and the surface of a synthetic implant.",,"","","E16|E1612","MedDRA:10068157:Inadequate osteointegration","",""
"E1613","Intervertebral Disc Compression or Protrusion","Degenerative, pathological or traumatic changes in the cartilaginous tissue of the spine leading to unwanted compression or protrusion of the disc.",,"","","E16|E1613","MedDRA:10055039:Intervertebral disc compression","",""
"E1614","Joint Dislocation","An abnormal separation where two or more bones meet.",,"","","E16|E1614","MedDRA:10023204:Joint dislocation","Musculoskeletal System","Injury"
"E161401","Subluxation","Partial dislocation of the bones in a joint.",,"","","E16|E1614|E161401","MedDRA:10042402:Subluxation","Musculoskeletal System","Injury"
"E1615","Joint Laxity","Looseness or instability of a joint.",,"","","E16|E1615","MedDRA:10070874:Joint laxity","",""
"E1616","Loss of Range of Motion","A finding that the flexibility of a joint is below the expected range of normal for that individual.",,"","","E16|E1616","MedDRA:10048706:Joint range of motion decreased","",""
"E161601","Ankylosis","Immobility of the joint due to the formation of bone, cartilaginous or fibrous tissues around the joints.",,"","","E16|E1616|E161601","MedDRA:10002559:Ankylosis","",""
"E161602","Joint Contracture","Permanent restriction of a joint, usually resulting from prolonged spasticity in a muscle area.",,"","","E16|E1616|E161602","MedDRA:10023201:Joint contracture","",""
"E161603","Muscular Rigidity","An involuntary, persistent state of firm, tense muscles with marked resistance to passive movement.",,"","","E16|E1616|E161603","MedDRA:10028330:Muscle rigidity","",""
"E1617","Malunion of Bone","Faulty healing of bone, resulting in improper anatomical alignment.",,"","","E16|E1617","MedDRA:10026729:Malunion of fracture","",""
"E1618","Metal Related Pathology","Aseptic fibrosis or local necrosis secondary to metal corrosion and release of wear debris. It's also known as Metallosis.",,"","","E16|E1618","MedDRA:10081986:Periprosthetic metallosis","",""
"E1619","Muscle Hypotonia","Abnormally low level of muscle tone.",,"","","E16|E1619","MedDRA:10081180:Muscle hypotonia","",""
"E1620","Muscle/Tendon Damage","Any injury to muscle or tendon tissue including strains.",,"","","E16|E1620","MedDRA:10028314:Muscle injury","",""
"E1621","Muscle Weakness","A reduction in the strength of one or more muscles.",,"","","E16|E1621","MedDRA:10028350:Muscle weakness","Musculoskeletal System","Nervous System"
"E1622","Myalgia","Pain sensation originating from a muscle or group of muscles.",,"","","E16|E1622","MedDRA:10028411:Myalgia","Musculoskeletal System","Generalized Disorders"
"E1623","Neck Pain","Pain in the neck area.",,"","","E16|E1623","MedDRA:10028836:Neck pain","Musculoskeletal System","Generalized Disorders"
"E1624","Neck Stiffness","Limited mobility of the neck, usually accompanied by pain.",,"","","E16|E1624","MedDRA:10028843:Neck stiffness","",""
"E1625","Nonunion Bone Fracture","Broken bone that doesn't heal.",,"Modified (editorial)","Term was modified on 21 January 2021 (old term: Non-union Bone Fracture).","E16|E1625","MedDRA:10029746:Nonunion of fracture","",""
"E1626","Ossification","The formation of bone or of a bony substance; the conversion of fibrous tissue or of cartilage into bone or a bony substance.",,"","","E16|E1626","MedDRA:10065453:Ectopic ossification","",""
"E1627","Osteolysis","Dissolution of bone; applied especially to the removal or loss of the calcium of bone.",,"","","E16|E1627","MedDRA:10031248:Osteolysis","",""
"E1628","Osteomyelitis","Infection of bone or bone marrow.",,"","","E16|E1628","MedDRA:10031252:Osteomyelitis","Musculoskeletal System","Infections"
"E1629","Osteopenia/ Osteoporosis","Decreased calcification or density of bone tissue.",,"","","E16|E1629","MedDRA:10049088:Osteopenia","",""
"E1630","Polymyositis","An idiopathic inflammatory disorder affecting the muscles. It presents with symmetrical proximal muscle weakness and elevated skeletal muscle enzymes.",,"","","E16|E1630","MedDRA:10036102:Polymyositis","",""
"E1631","Spinal Column Injury","Damage to the bones of the spine.",,"","","E16|E1631","MedDRA:10069689:Spinal column injury","Musculoskeletal System","Injury"
"E1632","Synovitis","Inflammation of a synovial membrane.",,"","","E16|E1632","MedDRA:10042868:Synovitis","Musculoskeletal System","Infections"
"E1633","Tooth Fracture","Breakage of any portion of the tooth.",,"","","E16|E1633","MedDRA:10062544:Tooth fracture","Musculoskeletal System","Injury"
"E1634","Unequal Limb Length","Discrepancy between the lengths of the lower or upper extremities.",,"","","E16|E1634","MedDRA:10065738:Unequal limb length","",""
"E1635","Unspecified Musculoskeletal problem","The report describes a non-specific problem with the musculoskeletal system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,"New","Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.","E16|E1635","","",""
"E2302","Ambulation Difficulties","Any persistent problem with walking or gait.",,"","","E16|E2302","MedDRA:10047810:Walking difficulty","Generalized Disorders","Musculoskeletal System"
"E17","Skin and Subcutaneous Tissue","Skin and Subcutaneous Tissue",,"Not selectable","Please use more detailed term within the hierarchy","E17","","",""
"E1701","Abrasion","Superficial damage to the skin caused by rubbing or scraping.",,"","","E17|E1701","MedDRA:10080919:Abrasion","Skin and Subcutaneous Tissue","Injury"
"E1702","Angioedema","Rapid swelling of the deep layers of the skin due to transient vascular leakage of serous fluid.",,"","","E17|E1702","MedDRA:10002424:Angioedema","Skin and Subcutaneous Tissue","Generalized Disorders"
"E1703","Blister","A collection of fluid underneath the top layer of skin.",,"","","E17|E1703","MedDRA:10005191:Blister","",""
"E1704","Burn(s)","An injury or tissue damage caused by exposure to caustic chemicals, extreme heat, extreme cold or excessive radiation.",,"","","E17|E1704","MedDRA:10006634:Burn","Skin and Subcutaneous Tissue","Injury"
"E1005","Bowel Burn","A thermal injury to the bowels.",,"","","E17|E1704|E1005","MedDRA:10082501:Intestinal burn","Gastrointestinal System","Injury"
"E1013","Gastroesophageal Burn","Thermal, chemical or radiation injury to stomach or esophagus.",,"","","E17|E1704|E1013","MedDRA:10082500:Gastroesophageal burn","Gastrointestinal System","Injury"
"E170401","Caustic/Chemical Burns","A burn caused by exposure to chemical substances.",,"","","E17|E1704|E170401","MedDRA:10008420:Chemical burn","Skin and Subcutaneous Tissue","Injury"
"E170402","Cryogenic Burn","Local tissue damage due to exposure to extreme cold.",,"","","E17|E1704|E170402","MedDRA:10081985:Cold burn","Skin and Subcutaneous Tissue","Injury"
"E170403","Radiation Burn","A burn caused by exposure to x-ray, radium, sunlight, ionizing radiation or any other type of radiant energy.",,"","","E17|E1704|E170403","MedDRA:10063640:Radiation burn","Skin and Subcutaneous Tissue","Injury"
"E170404","Superficial (First Degree) Burn","A burn that affects the epidermis only, causing erythema without blistering.",,"","","E17|E1704|E170404","MedDRA:10016700:First degree burns","Skin and Subcutaneous Tissue","Injury"
"E170405","Partial thickness (Second Degree) Burn","A burn that affects the epidermis and the dermis.",,"","","E17|E1704|E170405","MedDRA:10039798:Second degree burns","Skin and Subcutaneous Tissue","Injury"
"E170406","Full thickness (Third Degree) Burn","A burn to the skin that extends into deeper layers and underlying tissues.",,"","","E17|E1704|E170406","MedDRA:10043441:Third degree burns","Skin and Subcutaneous Tissue","Injury"
"E1705","Burning Sensation","A sensation of stinging or heat, not necessarily accompanied by redness or physical signs of irritation.",,"","","E17|E1705","MedDRA:10006784:Burning sensation","Skin and Subcutaneous Tissue","Generalized Disorders"
"E170501","Skin Burning Sensation","A sensation of dermal stinging or heat, not necessarily accompanied by redness or physical signs of skin irritation.",,"","","E17|E1705|E170501","MedDRA:10054786:Skin burning sensation","Skin and Subcutaneous Tissue","Generalized  Disorders"
"E1706","Cancer Cells Dissemination","Spreading benign or malignant tissue during medical procedures.",,"","","E17|E1706","MedDRA:10082075:Iatrogenic metastasis","",""
"E1707","Impaired Healing","Improper body tissue repair due to factors affecting one or more of the phases of wound healing.",,"","","E17|E1707","MedDRA:10021519:Impaired healing","",""
"E1708","Itching Sensation","An irritating feeling that produces the desire to scratch.",,"","","E17|E1708","MedDRA:10023084:Itching","",""
"E1709","Jaundice","Yellow pigmentation of the skin, mucous membranes, and the eyes due to hyperbilirubinemia.",,"","","E17|E1709","MedDRA:10023126:Jaundice","",""
"E1710","Localized Skin Lesion","A pathologic process that affects the skin and is confined to a specific area.",,"","","E17|E1710","MedDRA:10040882:Skin lesion","",""
"E1711","Peeling","A peeling off or loss of epidermis, as in sunburn, postscarlatinal peeling, or toxic epidermal necrolysis.",,"","","E17|E1711","MedDRA:10034218:Peeling","",""
"E1712","Phototoxicity","A nonimmunologic, chemically induced type of photosensitivity.",,"","","E17|E1712","MedDRA:10034977:Phototoxicity","",""
"E1713","Pocket Erosion","Erosion of patient's tissue pocket which houses a device.",,"","","E17|E1713","MedDRA:10035771:Pocket erosion","Skin and Subcutaneous Tissue","Injury"
"E1714","Rash","An eruption in the skin which effects its appearance and/or texture.",,"","","E17|E1714","MedDRA:10037844:Rash","",""
"E1715","Scar Tissue","Formation of new tissue formed in the healing of a wound.",,"","","E17|E1715","MedDRA:10039580:Scar","",""
"E1716","Skin Discoloration","any abnormal change in skin coloration.",,"","","E17|E1716","MedDRA:10040828:Skin discoloration","",""
"E171601","Erythema","Red discoloration of the skin.",,"","","E17|E1716|E171601","MedDRA:10015150:Erythema","",""
"E1717","Skin Disorders","Affecting the skin.",,"","","E17|E1717","MedDRA:10040831:Skin disorder","",""
"E1718","Skin Erosion","A gradual breakdown or very shallow ulceration of the skin which involves only the epidermis and heals without scarring.",,"","","E17|E1718","MedDRA:10040840:Skin erosion","Skin and Subcutaneous Tissue","Injury"
"E1719","Skin Infection","An inflammatory process affecting the skin, caused by bacteria, viruses, parasites, or fungi.",,"","","E17|E1719","MedDRA:10040872:Skin infection","Skin and Subcutaneous Tissue","Infections"
"E1720","Skin Inflammation/ Irritation","An inflammatory process affecting the skin. Signs include red rash, itching, and blister formation. Representative examples are contact dermatitis, atopic dermatitis, and seborrheic dermatitis.",,"","","E17|E1720","MedDRA:10062249:Skin inflammation","",""
"E172001","Abscess","An inflammatory process characterized by the accumulation of pus within a newly formed tissue cavity.",,"","","E17|E1720|E172001","MedDRA:10000269:Abscess","Skin and Subcutaneous Tissue","Infections"
"E172002","Cellulitis","Inflammation of the dermis and subcutaneous tissues caused by a bacterial infection.",,"","","E17|E1720|E172002","MedDRA:10007882:Cellulitis","Skin and Subcutaneous Tissue","Infections"
"E172003","Contact Dermatitis","An inflammatory skin condition caused by direct contact between the skin and either an irritating substance or an allergen.",,"","","E17|E1720|E172003","MedDRA:10056540:Dermatitis irritant contact","",""
"E172004","Eczema","A form of dermatitis characterized by red, itchy, scaly, or crusty patches that can be chronic or intermittent.",,"","","E17|E1720|E172004","MedDRA:10014184:Eczema","",""
"E172005","Radiodermatitis","A cutaneous inflammatory reaction occurring as a result of exposure to biologically effective levels of ionizing radiation.",,"","","E17|E1720|E172005","MedDRA:10061103:Dermatitis radiation","",""
"E172006","Urticaria","A transient, itchy skin eruption characterized by wheals with pale interiors and red margins.",,"","","E17|E1720|E172006","MedDRA:10046735:Urticaria","",""
"E172007","Wheal(s)","A smooth, slightly elevated area on the body surface, which is redder or paler than the surrounding skin.",,"","","E17|E1720|E172007","MedDRA:10047918:Wheals","",""
"E2317","Granuloma","An inflammatory reaction usually caused by infectious organisms, foreign bodies, or cholesterol deposits. It is characterized by the presence of epithelioid histiocytes and chronic inflammation.",,"","","E17|E1720|E2317","MedDRA:10018691:Granuloma","Generalized Disorders","Skin and Subcutaneous Tissue"
"E1721","Skin Tears","A break in skin tissue caused by friction or shearing.",,"","","E17|E1721","MedDRA:10048704:Skin tear","",""
"E1722","Subcutaneous Nodule","A small palpable abnormal mass in the subcutaneous tissues.",,"","","E17|E1722","MedDRA:10042348:Subcutaneous nodule","",""
"E1723","Wrinkling","A folding, ridge or creasing of the skin.",,"","","E17|E1723","MedDRA:10048043:Wrinkling","",""
"E2005","Easy Bruising","Appearance of bruises spontaneously or following minimal contact.",,"","","E17|E2005","MedDRA:10076258:Tendency to bruise easily","Injury","Skin and Subcutaneous Tissue"
"E18","Neoplasms Benign, Malignant and Unspecified","Neoplasms Benign, Malignant and Unspecified",,"Not selectable","Please use more detailed term within the hierarchy","E18","","",""
"E1801","Cancer","A group of diseases in which abnormal cells divide without control, invade nearby tissues and may also spread to other parts of the body through the blood and lymph systems.",,"","","E18|E1801","MedDRA:10007050:Cancer","",""
"E180101","Breast Cancer","A malignant neoplasm that develops or arises in breast tissue.",,"","","E18|E1801|E180101","MedDRA:10006187:Breast cancer","",""
"E180102","Breast Implant Associated Anaplastic Large Cell Lymphoma (BIA ALCL)","A peripheral (mature) T-cell lymphoma, consisting of usually large anaplastic, CD30 positive cells. The majority of cases are positive for the anaplastic large cell lymphoma (ALK) protein.",,"","","E18|E1801|E180102","MedDRA:10082495:Breast implant-associated anaplastic large cell lymphoma","",""
"E180103","Leiomyosarcoma","A malignant tumor of smooth muscle cells that can arise almost anywhere in the body but is most common in the uterus, abdomen, or pelvis.",,"","","E18|E1801|E180103","MedDRA:10024189:Leiomyosarcoma","",""
"E180104","Lymphoma","A malignant (clonal) proliferation of B- lymphocytes or T- lymphocytes which involves the lymph nodes, bone marrow and/or extranodal sites. This category includes Non-Hodgkin lymphomas and Hodgkin lymphomas.",,"","","E18|E1801|E180104","MedDRA:10025310:Lymphoma","",""
"E1802","Cyst(s)","A sac-like closed membranous structure that may be empty or contain fluid or amorphous material.",,"","","E18|E1802","MedDRA:10011732:Cyst","",""
"E1803","Nodule","A small lump, swelling or collection of tissue.",,"","","E18|E1803","MedDRA:10054107:Nodule","",""
"E1804","Solid Tumour","Abnormal mass of tissue that usually does not contain cysts or liquid areas. Solid tumours may be benign (not cancerous), or malignant (cancerous). Different types of solid tumours are named for the type of cells that form them. If tumours are associated with those under the term cancer, these terms should be used.",,"","","E18|E1804","MedDRA:10065252:Solid tumor","",""
"E19","Infections","Infections",,"Not selectable","Please use more detailed term within the hierarchy","E19","","",""
"E0114","Encephalitis","An acute inflammatory process affecting the brain parenchyma.",,"","","E19|E0114","MedDRA:10014581:Encephalitis","Nervous System","Infections"
"E0121","Meningitis","A disorder characterized by acute inflammation of the meninges of the brain and/or spinal cord.",,"","","E19|E0121","MedDRA:10027199:Meningitis","Nervous System","Infections"
"E0306","Sepsis","The presence of pathogenic microorganisms in the blood stream causing a rapidly progressing systemic reaction that may lead to shock. Symptoms include fever, chills, tachycardia, and increased respiratory rate. It is a medical emergency that requires urgent medical attention.",,"","","E19|E0306","MedDRA:10040047:Sepsis","Blood and Lymphatic System","Infections"
"E0610","Endocarditis","Inflammation of the endocardium.",,"","","E19|E0610","MedDRA:10014665:Endocarditis","Heart","Infections"
"E0733","Pneumonia","An acute and/or chronic inflammation focally or diffusely affecting the lung parenchyma.",,"","","E19|E0733","MedDRA:10035664:Pneumonia","Respiratory System","Infections"
"E073301","Bronchopneumonia","Acute inflammation of the walls of the terminal bronchioles.",,"","","E19|E0733|E073301","MedDRA:10006469:Bronchopneumonia","Respiratory System","Infections"
"E0744","Respiratory Tract Infection","An infectious disease affecting the respiratory tract.",,"","","E19|E0744","MedDRA:10062352:Respiratory tract infection","Respiratory System","Infections"
"E0803","Chemosis","Edema of the mucous membrane of the eyeball and eyelid lining.",,"","","E19|E0803","MedDRA:10008435:Chemosis","Eye","Infections"
"E0816","Endophthalmitis","Inflammation of the intraocular fluids or tissues usually with microbial organisms.",,"","","E19|E0816","MedDRA:10014801:Endophthalmitis","Eye","Infections"
"E0818","Eye Infections","An infection of any part of the eye, including the eyelid.",,"","","E19|E0818","MedDRA:10015929:Eye infection","Eye","Infections"
"E081801","Intraocular Infection","Infection within the eye.",,"","","E19|E0818|E081801","MedDRA:10054762:Eye infection intraocular","Eye","Infections"
"E1021","Pancreatitis","Inflammation of the pancreas.",,"","","E19|E1021","MedDRA:10033645:Pancreatitis","Gastrointestinal System","Infections"
"E1024","Peritonitis","Inflammation of the peritoneum due to infection by bacteria or fungi.",,"","","E19|E1024","MedDRA:10034674:Peritonitis","Gastrointestinal System","Infections"
"E1102","Hepatitis","Inflammation of the liver; usually from a viral infection, but sometimes from toxic agents.",,"","","E19|E1102","MedDRA:10056522:Hepatic infection","Hepatic and Biliary System","Infections"
"E1310","Urinary Tract Infection","An inflammatory process affecting any part of the urinary tract, most commonly the bladder or the urethra.",,"","","E19|E1310","MedDRA:10046571:Urinary tract infection","Kidney and Urinary Tract","Infections"
"E131001","Kidney Infection","An inflammatory process affecting the kidney.",,"","","E19|E1310|E131001","MedDRA:10023424:Kidney infection","Kidney and Urinary Tract","Infections"
"E1414","Toxic Shock Syndrome","A rare acute life-threatening systemic bacterial noncontagious illness caused by staphylococcal exotoxins.",,"","","E19|E1414","MedDRA:10044248:Toxic shock syndrome","Reproductive System and Breast","Infections"
"E1504","Chorioamnionitis","An infection involving chorion, amnion and amniotic fluid; generally, there is also involve placental villi and from decidua.",,"","","E19|E1504","MedDRA:10008755:Chorioamnionitis","Pregnancy, Childbirth and the Puerperium","Infections"
"E1609","Fibromyositis","Inflammation and fibrous degeneration of a muscle.",,"","","E19|E1609","MedDRA:10063041:Fibromyositis","Musculoskeletal System","Infections"
"E1628","Osteomyelitis","Infection of bone or bone marrow.",,"","","E19|E1628","MedDRA:10031252:Osteomyelitis","Musculoskeletal System","Infections"
"E1632","Synovitis","Inflammation of a synovial membrane.",,"","","E19|E1632","MedDRA:10042868:Synovitis","Musculoskeletal System","Infections"
"E1719","Skin Infection","An inflammatory process affecting the skin, caused by bacteria, viruses, parasites, or fungi.",,"","","E19|E1719","MedDRA:10040872:Skin infection","Skin and Subcutaneous Tissue","Infections"
"E172001","Abscess","An inflammatory process characterized by the accumulation of pus within a newly formed tissue cavity.",,"","","E19|E172001","MedDRA:10000269:Abscess","Skin and Subcutaneous Tissue","Infections"
"E172002","Cellulitis","Inflammation of the dermis and subcutaneous tissues caused by a bacterial infection.",,"","","E19|E172002","MedDRA:10007882:Cellulitis","Skin and Subcutaneous Tissue","Infections"
"E1901","Bacterial Infection","An acute infectious disorder caused by gram positive or gram negative bacteria.",,"","","E19|E1901","MedDRA:10060945:Bacterial infection","",""
"E190101","Drug Resistant Bacterial Infection","An infection that is resistant to antibiotics and antimicrobials, for example, MRSA or VRE.",,"","","E19|E1901|E190101","MedDRA:10004052:Bacterial resistance","",""
"E190102","Pyogenic Infection","An infection caused by pus-producing organisms.",,"","","E19|E1901|E190102","MedDRA:10021861:Infection pyogenic","",""
"E190103","Toxemia","The condition resulting from the spread of bacterial products (toxins) by the bloodstream.",,"","","E19|E1901|E190103","MedDRA:10059857:Toxemia","Infections","Pregnancy, Childbirth and the Puerperium"
"E1902","Fungal Infection","An infection caused by a fungus.",,"","","E19|E1902","MedDRA:10017533:Fungal infection","",""
"E1903","Sexually Transmitted Infection","A disease acquired predominantly through sexual contact.",,"","","E19|E1903","MedDRA:10068720:Sexually transmitted infection","",""
"E1904","Subclinical Infection","Infection associated with no detectable signs or symptoms but caused by microorganisms capable of producing easily recognizable diseases.",,"Modified (technical)","The definition was changed on 21 January 2021 (Old definition: Infection associated with no detectable symptoms but caused by microorganisms capable of producing easily recognizable diseases.). For details, refer to comment No. 8 of the Change Log).","E19|E1904","MedDRA:10068163:Subclinical infection","",""
"E1905","Transmissible Spongiform Encephalopathy(TSE)","A group of rare degenerative brain disorders associated with prions for example Creutzfeldt-Jakob disease (CJD) or Bovine Spongiform Encephalopathy (BSE).",,"Modified (editorial)","Editorial change to the definition on 16 February 2021.","E19|E1905","MedDRA:10080750:Transmissible spongiform encephalopathy","",""
"E1906","Unspecified Infection","The report describes a non-specific or unidentified infection. Note: Please use the appropriate term if the report describes a specific infection. i.e. Bacterial Infection E1901, Fungal Infection E1902, Viral Infection E1907, or a relevant Level 3 term where more detail is available.",,"Modified (editorial)","Editorial change to the definition on 18 March 2020 for consistency with other ""Unspecified ____"" definitions.","E19|E1906","MedDRA:10021789:Infection","",""
"E1907","Viral Infection","Any disease caused by a virus.",,"","","E19|E1907","MedDRA:10047461:Viral infection","",""
"E190701","Cytomegalovirus (CMV) Infection","A genus of the family herpesviridae, subfamily betaherpesvirinae, infecting the salivary glands, liver, spleen, lungs, eyes, and other organs, in which they produce characteristically enlarged cells with intranuclear inclusions.",,"","","E19|E1907|E190701","MedDRA:10011831:Cytomegalovirus infection","",""
"E2012","Post Traumatic Wound Infection","Infection of a wound following trauma. This does not include post surgical wound infection.",,"","","E19|E2012","MedDRA:10036317:Post-traumatic wound infection","Injury","Infections"
"E2115","Post Operative Wound Infection","Infection of a surgical skin incision.",,"","","E19|E2115","MedDRA:10036410:Postoperative wound infection","Procedural Complications","Infections"
"E20","Injury","Injury",,"Not selectable","Please use more detailed term within the hierarchy","E20","","",""
"E0102","Brain Injury","Damage to the brain.",,"","","E20|E0102","MedDRA:10060690:Traumatic brain injury","Nervous System","Injury"
"E010201","Encephalocele","Hernia of brain substance and meninges through a congenital or traumatic opening of the skull.",,"","","E20|E0102|E010201","MedDRA:10014617:Encephalocele","Nervous System","Injury"
"E0108","Concussion","Traumatic brain injury as a result of the action of a mechanical force on the head.",,"","","E20|E0108","MedDRA:10010254:Concussion","Nervous System","Injury"
"E0123","Nerve Damage","Injury to nervous tissue.",,"","","E20|E0123","MedDRA:10029177:Nerve damage","Nervous System","Injury"
"E012301","Optical Nerve Damage","Injury to optical nerve.",,"","","E20|E0123|E012301","MedDRA:10030938:Optic nerve injury","Nervous System","Injury"
"E0124","Nervous System Injury","Injury to the central or peripheral nervous system.",,"","","E20|E0124","MedDRA:10080898:Nervous system injury","Nervous System","Injury"
"E012401","Spinal Cord Injury","Traumatic damage of the spinal cord.",,"","","E20|E0124|E012401","MedDRA:10041552:Spinal cord injury","Nervous System","Injury"
"E0128","Peripheral Nervous Injury","Injury to the peripheral nervous system.",,"","","E20|E0128","MedDRA:10034586:Peripheral nerve injury","Nervous System","Injury"
"E0710","Choking","Interference with respiration by obstruction of the larynx or trachea.",,"Modified (editorial)","Editorial change to the definition on 16 February 2021.","E20|E0710","MedDRA:10008589:Choking","Respiratory System","Injury"
"E0749","Strangulation","Interference with respiration by compression of the larynx, laryngopharynx or trachea, as well as of the carotid arteria or jugular veins.",,"","","E20|E0749","MedDRA:10042169:Strangulation","Respiratory System","Injury"
"E0819","Eye Injury","Damage to the eye.",,"","","E20|E0819","MedDRA:10061128:Eye injury","Eye","Injury"
"E081901","Corneal Abrasion","Injury to the epithelium of the cornea.",,"","","E20|E0819|E081901","MedDRA:10010984:Corneal abrasion","",""
"E081902","Eye Burn","Burn injury, including chemical burn, to any part of the eye.",,"","","E20|E0819|E081902","MedDRA:10015911:Eye burns","Eye","Injury"
